id,messageHow,messageRules,total_points,nchar_how,nchar_rules,log_points,condition
47,Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.,Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.,400031,90,127,12.89929982289029,easy
114,"I suggest fusing together all the ones of the same shape (e.g. triangles) but not if you've already fused one with the same pattern. So you could fuse a plain triangle and a dotty triangle and a triangle with a checked pattern, but then don't fuse another dotty triangle after that. This technique worked every single time except once.","You can usually fuse together objects of the same shape, but you can't repeat objects with the same pattern. So you can't fuse a plain triangle, then a dotty triangle, then a plain triangle, for example. But you could fuse a plain triangle, then a dotty triangle, then a checked triangle, and so on.",211140,335,299,12.260281435726464,easy
101,Match alike shapes with different shades each transition,alike shapes lead to better values,310100,56,34,12.644653329849545,easy
85,"Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.","When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.",111143,324,187,11.618581936828697,easy
32,Long space adds extra points,Long spacing,1133,28,12,7.033506484287697,easy
5,just continue too pair up the red shapes with the ones you create too make purple ,"start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes ",400013,82,195,12.899254825477634,easy
108,"Form seems to be a determinant factor for the capacity of fusion (triangle fuses with triangle, etc.).",Form seems to be more important than the pattern.,400023,102,49,12.899279824290192,easy
3,Try to get the purple crystals as getting higher tier crystals is exponentially better ,Merge with the same shape,100110,87,25,11.514034849375726,easy
111,"I had none, just went with my gut.",I didn't notice any patterns.,124,34,29,4.8283137373023015,easy
104,Pick the same shapes for the recipes. Be aware that some colour/patterns for the shapes can't fuse.,Shapes had to be the same for the recipes to fuse. Certain colours/patterns will not fuse.,100000,99,90,11.51293546492023,easy
259,Take a look around the board first to ensure you know where each gem is before starting. ,I didn't find a pattern that was easy ,21,89,38,3.091042453358316,hard
252,its all a bit random but circles seem to do better,a did not spot much at all,58,50,26,4.07753744390572,hard
256,"Combine diamond + triangle to make a better diamond, then another triangle, then another triangle, to get to a blue diamond for high points. Don't forget to harvest. Do the same with circle + square, + square, etc. Pattern doesn't matter.",Diamonds and triangles go together. Circles and squares go together,110301,238,67,11.610977337443478,hard
251,I tried to recreate the same combinations,similar seemed to make a higher score,110,41,37,4.709530201312334,hard
