"","id","condition","messageHow","messageRules","total_points","age","sex","engagement","difficulty","feedback","date","time","duration"
"1",3,"easy","Try to get the purple crystals as getting higher tier crystals is exponentially better ","Merge with the same shape",100110,27,"male",8,3,"no","2025_01_22","11_22_50",246
"2",5,"easy","just continue too pair up the red shapes with the ones you create too make purple ","start with one shape at a time and pair up all the same shapes first, for example the squares, once you get too purple colour cash it in for points, continue to do that with all the other shapes ",400013,34,"female",9,5,"thoroughly enjoyed","2025_01_22","11_23_25",564
"3",12,"medium","use arrows to cotrol the game ","using space bar to combine or fuse items",124,30,"male",9,2,"i enjoyed the game i wish it was long.","2025_01_22","13_29_37",566
"4",21,"medium","Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!","If you combine two shapes together and keep combing them, you move up in the crystal points rank",200021,21,"female",9,6,"-","2025_01_22","11_39_18",310
"5",24,"medium","Remember to drop off your colours (if its a good one) pressing space before you try and merge again, its very possible to go backwards in colour tiers I think so you can potentially lose points rather than accidentally merge into a lower colour. Always check out the hints for each block at the top, you can plan your moves this way before randomly trying to find out what works best. ","I could not find any rules/patterns, everything seemed fairly random. ",101015,32,"male",9,7,"Fun! :D","2025_01_22","11_41_20",389
"6",32,"easy","Long space adds extra points","Long spacing",1133,35,"female",9,10,"It was hard to grasp what to do in the beginning but I feel like I got the hang of it.","2025_01_22","11_42_16",412
"7",47,"easy","Gems of the same shape merge to make new gems.  Colour and pattern doesn't seem to matter.","Merging gems of the same shape produced new gems.  Attempting to merge gems of differing shapes failed every time in my trials.",400031,44,"male",7,2,"It sounded as though movement would count as an action in the instructions but it did not in the actual game.  This should probably be clarified.","2025_01_22","11_46_05",495
"8",64,"medium","When you find a combination of two objects, make note of the pattern inside the newly created object, fuse the new object (the one that you're holding) with the same shaped object that allowed you to create the new object, but with a different pattern than the new object.","I noticed that the pattern on the inside of the object that is combined with the held object is retained when combining, while the held object's shape was retained when combining.",200002,25,"male",9,8,"No comments.","2025_01_22","06_49_23",880
"9",85,"easy","Combine the same shapes and collect all the same shapes until they are finished. Don't rush to drop a shape because new ones of the same type may pop up. When finished with a certain set of shapes, be sure to drop the one you are holding, then pick up another one and repeat the same pattern. Never mix two different shapes.","When you mix different shapes, you get an error, but mixing the same shape can give you a new shape and color and therefore points, depending on the patterns on the shapes that you mixed.",111143,28,"female",10,3,"The instructions could be a lot more understandable if they included a practice game before beginning the actual game.","2025_01_22","13_60_26",1445
"10",87,"medium","I have no idea what i waws doing. Guess game","I tried to match ",11001,55,"female",7,10,"no","2025_01_22","14_02_21",1681
"11",97,"medium","The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. Following this, choose a figure to start with and start matching with its geometric partner that has a different color or pattern. 
Example: I start with a square of stripes and combine it with a plain circle. Imagine that a plain square with different colour turns out, which I will combine with another circle with dots. And so on. When you can't combine more drop for later or collect depending on the moves you have left.","You can combine with colors or patterns that are different.
The triangles combine only with the diamonds and vice versa. The squares combine only with the circles and vice versa. ",110120,61,"male",10,6,"Nothing to add thank you","2025_01_22","13_39_46",NA
