sub_id,step,action,held,target,yield,max_level,points,total_points,log_total_points,held_shape,held_texture,held_level,target_shape,target_texture,target_level,yield_shape,yield_texture,yield_level,condition,version
61,1,combine,square_checkered_0,square_dots_0,square_dots_1,1,0,0,0,square,checkered,0,square,dots,0,square,dots,1,easy,original
61,2,combine,square_dots_1,square_stripes_0,square_stripes_2,2,0,0,0,square,dots,1,square,stripes,0,square,stripes,2,easy,original
61,3,combine,square_stripes_2,square_checkered_0,square_checkered_3,3,0,0,0,square,stripes,2,square,checkered,0,square,checkered,3,easy,original
61,4,combine,square_checkered_3,square_plain_0,square_plain_4,4,0,0,0,square,checkered,3,square,plain,0,square,plain,4,easy,original
61,5,combine,square_plain_4,square_dots_0,square_dots_5,5,0,0,0,square,plain,4,square,dots,0,square,dots,5,easy,original
61,6,combine,square_dots_5,triangle_dots_0,,5,0,0,0,square,dots,5,triangle,dots,0,,,0,easy,original
61,7,combine,square_dots_5,triangle_stripes_0,,5,0,0,0,square,dots,5,triangle,stripes,0,,,0,easy,original
61,8,combine,square_dots_5,square_plain_0,,5,0,0,0,square,dots,5,square,plain,0,,,0,easy,original
61,9,combine,square_dots_5,square_stripes_0,,5,0,0,0,square,dots,5,square,stripes,0,,,0,easy,original
61,10,combine,square_dots_5,diamond_plain_0,,5,0,0,0,square,dots,5,diamond,plain,0,,,0,easy,original
61,11,combine,square_dots_5,triangle_plain_0,,5,0,0,0,square,dots,5,triangle,plain,0,,,0,easy,original
61,12,consume,square_dots_5,,,5,100000,100000,11.5129254649702,square,dots,5,,,0,,,0,easy,original
61,13,combine,diamond_plain_0,diamond_stripes_0,diamond_stripes_1,5,0,100000,11.5129254649702,diamond,plain,0,diamond,stripes,0,diamond,stripes,1,easy,original
61,14,combine,diamond_stripes_1,diamond_checkered_0,diamond_checkered_2,5,0,100000,11.5129254649702,diamond,stripes,1,diamond,checkered,0,diamond,checkered,2,easy,original
61,15,combine,diamond_checkered_2,diamond_dots_0,diamond_dots_3,5,0,100000,11.5129254649702,diamond,checkered,2,diamond,dots,0,diamond,dots,3,easy,original
61,16,combine,diamond_dots_3,triangle_dots_0,,5,0,100000,11.5129254649702,diamond,dots,3,triangle,dots,0,,,0,easy,original
61,17,combine,diamond_dots_3,triangle_stripes_0,,5,0,100000,11.5129254649702,diamond,dots,3,triangle,stripes,0,,,0,easy,original
61,18,combine,diamond_dots_3,diamond_stripes_0,diamond_stripes_4,5,0,100000,11.5129254649702,diamond,dots,3,diamond,stripes,0,diamond,stripes,4,easy,original
61,19,consume,diamond_stripes_4,,,5,10000,110000,11.6082356447746,diamond,stripes,4,,,0,,,0,easy,original
61,20,combine,circle_dots_0,circle_checkered_0,circle_checkered_1,5,0,110000,11.6082356447746,circle,dots,0,circle,checkered,0,circle,checkered,1,easy,original
