"","sub_id","mevt_id","msg_id","msg_rank","read_n","times_read","dwell_ms","opened_at","closed_at","raw_msg_event_id","condition","total_points","log_total_points"
"1",5,1,12,2,1,1,4330,"2026-04-14T08:31:53Z","2026-04-14T08:31:58Z","msg-12-1","hard",11000,9.30574145673943
"2",5,2,11,1,1,1,9997,"2026-04-14T08:31:59Z","2026-04-14T08:32:09Z","msg-11-2","hard",11000,9.30574145673943
"3",6,1,11,1,1,2,25932,"2026-04-14T08:31:41Z","2026-04-14T08:32:07Z","msg-11-1","hard",23015,10.0439449052314
"4",6,2,11,1,2,2,10952,"2026-04-14T08:32:10Z","2026-04-14T08:32:21Z","msg-11-2","hard",23015,10.0439449052314
"5",7,1,21,1,1,1,9192,"2026-04-14T08:32:19Z","2026-04-14T08:32:28Z","msg-21-1","medium",1000,6.90875477931522
"6",7,2,22,2,1,2,13128,"2026-04-14T08:32:29Z","2026-04-14T08:32:42Z","msg-22-2","medium",1000,6.90875477931522
"7",7,3,22,2,2,2,10576,"2026-04-14T08:32:47Z","2026-04-14T08:32:58Z","msg-22-3","medium",1000,6.90875477931522
"8",8,1,1,1,1,1,7484,"2026-04-14T08:31:38Z","2026-04-14T08:31:46Z","msg-1-1","easy",100010,11.5130354589207
"9",8,2,2,2,1,1,3267,"2026-04-14T08:31:47Z","2026-04-14T08:31:51Z","msg-2-2","easy",100010,11.5130354589207
"10",8,3,3,3,1,2,4867,"2026-04-14T08:31:59Z","2026-04-14T08:32:04Z","msg-3-3","easy",100010,11.5130354589207
"11",8,4,3,3,2,2,9350,"2026-04-14T08:32:08Z","2026-04-14T08:32:18Z","msg-3-4","easy",100010,11.5130354589207
"12",9,1,11,1,1,2,29626,"2026-04-14T08:32:37Z","2026-04-14T08:33:07Z","msg-11-1","hard",4,1.6094379124341
"13",9,2,11,1,2,2,33353,"2026-04-14T08:33:13Z","2026-04-14T08:33:46Z","msg-11-2","hard",4,1.6094379124341
"14",10,1,11,1,1,1,12177,"2026-04-14T08:32:42Z","2026-04-14T08:32:55Z","msg-11-1","hard",110000,11.6082447356423
"15",11,1,11,1,1,2,13673,"2026-04-14T08:33:19Z","2026-04-14T08:33:32Z","msg-11-1","hard",11053,9.31054763239321
"16",11,2,11,1,2,2,7381,"2026-04-14T08:33:34Z","2026-04-14T08:33:42Z","msg-11-2","hard",11053,9.31054763239321
"17",11,3,12,2,1,1,4726,"2026-04-14T08:33:44Z","2026-04-14T08:33:49Z","msg-12-3","hard",11053,9.31054763239321
"18",11,4,13,3,1,1,8515,"2026-04-14T08:33:50Z","2026-04-14T08:33:59Z","msg-13-4","hard",11053,9.31054763239321
"19",11,5,15,5,1,1,3456,"2026-04-14T08:34:00Z","2026-04-14T08:34:04Z","msg-15-5","hard",11053,9.31054763239321
"20",11,6,16,6,1,1,3621,"2026-04-14T08:34:05Z","2026-04-14T08:34:08Z","msg-16-6","hard",11053,9.31054763239321
"21",12,1,11,1,1,2,20952,"2026-04-14T08:32:46Z","2026-04-14T08:33:07Z","msg-11-1","hard",10010,9.21143976741948
"22",12,2,11,1,2,2,6608,"2026-04-14T08:33:09Z","2026-04-14T08:33:15Z","msg-11-2","hard",10010,9.21143976741948
"23",12,3,12,2,1,1,4353,"2026-04-14T08:33:17Z","2026-04-14T08:33:21Z","msg-12-3","hard",10010,9.21143976741948
"24",12,4,13,3,1,1,14119,"2026-04-14T08:33:22Z","2026-04-14T08:33:36Z","msg-13-4","hard",10010,9.21143976741948
"25",13,1,11,1,1,3,1828,"2026-04-14T08:33:52Z","2026-04-14T08:33:54Z","msg-11-1","hard",1213,7.10167597161944
"26",13,2,11,1,2,3,12606,"2026-04-14T08:33:56Z","2026-04-14T08:34:08Z","msg-11-2","hard",1213,7.10167597161944
"27",13,3,12,2,1,1,2347,"2026-04-14T08:34:09Z","2026-04-14T08:34:12Z","msg-12-3","hard",1213,7.10167597161944
"28",13,4,13,3,1,1,1908,"2026-04-14T08:34:13Z","2026-04-14T08:34:15Z","msg-13-4","hard",1213,7.10167597161944
"29",13,5,14,4,1,1,2422,"2026-04-14T08:34:19Z","2026-04-14T08:34:21Z","msg-14-5","hard",1213,7.10167597161944
"30",13,6,15,5,1,1,1612,"2026-04-14T08:34:22Z","2026-04-14T08:34:24Z","msg-15-6","hard",1213,7.10167597161944
"31",13,7,16,6,1,1,673,"2026-04-14T08:34:24Z","2026-04-14T08:34:25Z","msg-16-7","hard",1213,7.10167597161944
"32",13,8,17,7,1,1,629,"2026-04-14T08:34:26Z","2026-04-14T08:34:26Z","msg-17-8","hard",1213,7.10167597161944
"33",13,9,18,8,1,1,607,"2026-04-14T08:34:27Z","2026-04-14T08:34:28Z","msg-18-9","hard",1213,7.10167597161944
"34",13,10,19,9,1,1,1335,"2026-04-14T08:34:28Z","2026-04-14T08:34:30Z","msg-19-10","hard",1213,7.10167597161944
"35",13,11,20,10,1,1,1483,"2026-04-14T08:34:30Z","2026-04-14T08:34:32Z","msg-20-11","hard",1213,7.10167597161944
"36",13,12,11,1,3,3,7739,"2026-04-14T08:34:36Z","2026-04-14T08:34:44Z","msg-11-12","hard",1213,7.10167597161944
