"","sub_id","mevt_id","msg_id","msg_rank","read_n","times_read","dwell_ms","opened_at","closed_at","raw_msg_event_id","condition","total_points","log_total_points"
"1",38,1,1,1,1,1,11985,2026-04-20 08:33:16.86,2026-04-20 08:33:28.845,"msg-1-1","easy",100100,11.5139349552634
"2",38,2,8,8,1,1,5495,2026-04-20 08:33:29.949,2026-04-20 08:33:35.445,"msg-8-2","easy",100100,11.5139349552634
"3",38,3,7,7,1,1,1930,2026-04-20 08:33:36.252,2026-04-20 08:33:38.182,"msg-7-3","easy",100100,11.5139349552634
"4",38,4,6,6,1,1,15215,2026-04-20 08:33:38.967,2026-04-20 08:33:54.182,"msg-6-4","easy",100100,11.5139349552634
"5",39,1,1,1,1,3,13124,2026-04-20 08:32:19.243,2026-04-20 08:32:32.368,"msg-1-1","easy",73,4.30406509320417
"6",39,2,1,1,2,3,2260,2026-04-20 08:32:33.839,2026-04-20 08:32:36.099,"msg-1-2","easy",73,4.30406509320417
"7",39,3,2,2,1,1,11132,2026-04-20 08:32:37.011,2026-04-20 08:32:48.143,"msg-2-3","easy",73,4.30406509320417
"8",39,4,3,3,1,1,9741,2026-04-20 08:32:51.447,2026-04-20 08:33:01.188,"msg-3-4","easy",73,4.30406509320417
"9",39,5,4,4,1,1,1200,2026-04-20 08:33:04.707,2026-04-20 08:33:05.907,"msg-4-5","easy",73,4.30406509320417
"10",39,6,5,5,1,1,2111,2026-04-20 08:33:07.004,2026-04-20 08:33:09.115,"msg-5-6","easy",73,4.30406509320417
"11",39,7,10,10,1,1,1512,2026-04-20 08:33:10.019,2026-04-20 08:33:11.531,"msg-10-7","easy",73,4.30406509320417
"12",39,8,9,9,1,1,5395,2026-04-20 08:33:12.548,2026-04-20 08:33:17.944,"msg-9-8","easy",73,4.30406509320417
"13",39,9,8,8,1,1,3048,2026-04-20 08:33:18.871,2026-04-20 08:33:21.919,"msg-8-9","easy",73,4.30406509320417
"14",39,10,7,7,1,1,3377,2026-04-20 08:33:22.879,2026-04-20 08:33:26.256,"msg-7-10","easy",73,4.30406509320417
"15",39,11,6,6,1,2,6032,2026-04-20 08:33:27.471,2026-04-20 08:33:33.503,"msg-6-11","easy",73,4.30406509320417
"16",39,12,6,6,2,2,11673,2026-04-20 08:33:41.627,2026-04-20 08:33:53.3,"msg-6-12","easy",73,4.30406509320417
"17",39,13,1,1,3,3,5097,2026-04-20 08:33:55.231,2026-04-20 08:34:00.328,"msg-1-13","easy",73,4.30406509320417
"18",40,1,11,1,1,2,23651,2026-04-20 08:48:01.032,2026-04-20 08:48:24.683,"msg-11-1","hard",10042,9.21463115339334
"19",40,2,11,1,2,2,13401,2026-04-20 08:48:30.098,2026-04-20 08:48:43.499,"msg-11-2","hard",10042,9.21463115339334
