sub_id,assignment,created_at,token,condition,age,sex,engagement,difficulty,feedback,start_time,allow_regeneration,total_points,summary,message_how,message_rules,reflect_duration_ms,task_duration_ms,composition_duration_ms
38,easy,2026-04-20 09:38:02,424M8SDF,easy,33,female,5,5,NA,10_31_33,TRUE,100100,Combine the same shapes with one another but do not rush to collect other shapes whilst you are already on a fusion.,"Collect the same shapes as one another, remember to press the space bar on a blank square to collect the points.",Collect the same shapes as one another.,38855,132922,60783
39,easy,2026-04-20 09:39:52,RYUN9HZE,easy,49,male,8,10,it is a lot harder than it looks,10_31_35,TRUE,73,to mix the same shapes,just try to get the same shapes,same  colours seem to work together,18888,267416,36256
40,hard,2026-04-20 09:52:55,BB1ZSJDM,hard,50,female,5,5,none,10_47_32,TRUE,10042,"diamonds and triangles go together, and circles and squares",diamonds and triangles go together,only diamonds and triangles with certain patterns on them go together,16124,171751,32663
41,medium,2026-04-20 09:56:51,1P6UTMCE,medium,31,male,8,5,na,10_50_22,TRUE,10220,The order you pick up in matters,When you find a match continue to build up with that same shape to keep multiplying,"When you run out of a shape, bank then try a different combo",12273,185147,46998
42,hard,2026-04-20 09:59:39,241JW93W,hard,39,female,10,7,na,10_48_25,TRUE,20102,i am going to try all combinations first of all and if no luck try the previous players advice. diamonds and triangles and circles and square,Diamonds and triangles seem to work the best. Dont forget to press to harvest.,PLain circles and squares seemed to do quite well. Keep making triangles and diamonds until they turn blue,73996,266457,70528
43,medium,2026-04-20 10:01:29,PXQW7SFU,medium,59,female,8,8,no,10_49_47,TRUE,110120,Repeat successful combinations; bank purples; combine triangles/diamonds and squares/circles,Bank purples quickly,They are high scoring,75860,382157,26733
44,easy,2026-04-20 10:03:55,7ESTGR99,easy,57,male,7,3,no,10_47_34,TRUE,400040,merge by shape\n\ntry not to repeat patterns for the same shape,"shapes merge with the same shape e.g. triangle with triangle, patterns dont seem to matter, shapes dont seem to merge with different shapes e.g. square with diamond",only merge items of the shape shape - they always merged for me and no mixtures of shapes merged,57396,362937,164591
45,easy,2026-04-20 10:05:49,V7M4EB5D,easy,66,female,5,4,I dont feel as though I got the hang of it,10_41_55,TRUE,151,Shapes fuse with same shapes,"Shapes fuse when the same, remember to drop - I forgot and got fewer points",Shapes that match can be fused,22816,253002,71917
46,hard,2026-04-20 10:08:04,1UVVAU84,hard,26,male,10,1,No,10_55_60,TRUE,381,"Diamonds go together with triangles, circles go together with squares and patterns do not matter","Combine triangle with diamonds and circles with squares, they must have the same pattern to work. The shape and pattern of the result is based on the first shape in the combination","Circles and squares went together, diamonds went with triangles. The result was determined by the first shape",75913,303986,150397
47,easy,2026-04-20 10:08:20,HOARWO13,easy,49,female,8,4,no,11_01_08,TRUE,232,Merge gems of same shape eg triangle with triangle. Colour doesnt matter,Merge same shapes irrespective of colour,Two patterns gives more points,40199,217584,48196
