"","sub_id","step","action","held","target","yield","max_level","points","total_points","log_total_points","held_shape","held_texture","held_level","target_shape","target_texture","target_level","yield_shape","yield_texture","yield_level","condition"
"1",61,1,"combine","square_checkered_0","square_dots_0","square_dots_1",1,0,0,0,"square","checkered",0,"square","dots",0,"square","dots",1,"easy"
"2",61,2,"combine","square_dots_1","square_stripes_0","square_stripes_2",2,0,0,0,"square","dots",1,"square","stripes",0,"square","stripes",2,"easy"
"3",61,3,"combine","square_stripes_2","square_checkered_0","square_checkered_3",3,0,0,0,"square","stripes",2,"square","checkered",0,"square","checkered",3,"easy"
"4",61,4,"combine","square_checkered_3","square_plain_0","square_plain_4",4,0,0,0,"square","checkered",3,"square","plain",0,"square","plain",4,"easy"
"5",61,5,"combine","square_plain_4","square_dots_0","square_dots_5",5,0,0,0,"square","plain",4,"square","dots",0,"square","dots",5,"easy"
"6",61,6,"combine","square_dots_5","triangle_dots_0","",5,0,0,0,"square","dots",5,"triangle","dots",0,"","",0,"easy"
"7",61,7,"combine","square_dots_5","triangle_stripes_0","",5,0,0,0,"square","dots",5,"triangle","stripes",0,"","",0,"easy"
"8",61,8,"combine","square_dots_5","square_plain_0","",5,0,0,0,"square","dots",5,"square","plain",0,"","",0,"easy"
"9",61,9,"combine","square_dots_5","square_stripes_0","",5,0,0,0,"square","dots",5,"square","stripes",0,"","",0,"easy"
"10",61,10,"combine","square_dots_5","diamond_plain_0","",5,0,0,0,"square","dots",5,"diamond","plain",0,"","",0,"easy"
"11",61,11,"combine","square_dots_5","triangle_plain_0","",5,0,0,0,"square","dots",5,"triangle","plain",0,"","",0,"easy"
"12",61,12,"consume","square_dots_5","","",5,100000,100000,11.5129254649702,"square","dots",5,"","",0,"","",0,"easy"
"13",61,13,"combine","diamond_plain_0","diamond_stripes_0","diamond_stripes_1",5,0,100000,11.5129254649702,"diamond","plain",0,"diamond","stripes",0,"diamond","stripes",1,"easy"
"14",61,14,"combine","diamond_stripes_1","diamond_checkered_0","diamond_checkered_2",5,0,100000,11.5129254649702,"diamond","stripes",1,"diamond","checkered",0,"diamond","checkered",2,"easy"
"15",61,15,"combine","diamond_checkered_2","diamond_dots_0","diamond_dots_3",5,0,100000,11.5129254649702,"diamond","checkered",2,"diamond","dots",0,"diamond","dots",3,"easy"
"16",61,16,"combine","diamond_dots_3","triangle_dots_0","",5,0,100000,11.5129254649702,"diamond","dots",3,"triangle","dots",0,"","",0,"easy"
"17",61,17,"combine","diamond_dots_3","triangle_stripes_0","",5,0,100000,11.5129254649702,"diamond","dots",3,"triangle","stripes",0,"","",0,"easy"
"18",61,18,"combine","diamond_dots_3","diamond_stripes_0","diamond_stripes_4",5,0,100000,11.5129254649702,"diamond","dots",3,"diamond","stripes",0,"diamond","stripes",4,"easy"
"19",61,19,"consume","diamond_stripes_4","","",5,10000,110000,11.6082356447746,"diamond","stripes",4,"","",0,"","",0,"easy"
"20",61,20,"combine","circle_dots_0","circle_checkered_0","circle_checkered_1",5,0,110000,11.6082356447746,"circle","dots",0,"circle","checkered",0,"circle","checkered",1,"easy"
"21",61,21,"combine","circle_checkered_1","circle_plain_0","circle_plain_2",5,0,110000,11.6082356447746,"circle","checkered",1,"circle","plain",0,"circle","plain",2,"easy"
"22",61,22,"combine","circle_plain_2","circle_stripes_0","circle_stripes_3",5,0,110000,11.6082356447746,"circle","plain",2,"circle","stripes",0,"circle","stripes",3,"easy"
"23",61,23,"combine","circle_stripes_3","triangle_checkered_0","",5,0,110000,11.6082356447746,"circle","stripes",3,"triangle","checkered",0,"","",0,"easy"
"24",61,24,"consume","circle_stripes_3","","",5,1000,111000,11.6172854802945,"circle","stripes",3,"","",0,"","",0,"easy"
"25",61,25,"combine","triangle_stripes_0","triangle_dots_0","triangle_dots_1",5,0,111000,11.6172854802945,"triangle","stripes",0,"triangle","dots",0,"triangle","dots",1,"easy"
"26",61,26,"combine","triangle_dots_1","diamond_dots_0","",5,0,111000,11.6172854802945,"triangle","dots",1,"diamond","dots",0,"","",0,"easy"
"27",61,27,"combine","triangle_dots_1","diamond_checkered_0","",5,0,111000,11.6172854802945,"triangle","dots",1,"diamond","checkered",0,"","",0,"easy"
"28",61,28,"combine","triangle_dots_1","triangle_stripes_0","triangle_stripes_2",5,0,111000,11.6172854802945,"triangle","dots",1,"triangle","stripes",0,"triangle","stripes",2,"easy"
"29",61,29,"combine","triangle_stripes_2","triangle_checkered_0","triangle_checkered_3",5,0,111000,11.6172854802945,"triangle","stripes",2,"triangle","checkered",0,"triangle","checkered",3,"easy"
"30",61,30,"combine","triangle_checkered_3","triangle_dots_0","triangle_dots_4",5,0,111000,11.6172854802945,"triangle","checkered",3,"triangle","dots",0,"triangle","dots",4,"easy"
"31",61,31,"combine","triangle_dots_4","triangle_plain_0","triangle_plain_5",5,0,111000,11.6172854802945,"triangle","dots",4,"triangle","plain",0,"triangle","plain",5,"easy"
"32",61,32,"consume","triangle_plain_5","","",5,100000,211000,12.2596134124582,"triangle","plain",5,"","",0,"","",0,"easy"
"33",61,33,"combine","circle_dots_0","circle_stripes_0","circle_stripes_1",5,0,211000,12.2596134124582,"circle","dots",0,"circle","stripes",0,"circle","stripes",1,"easy"
"34",61,34,"combine","circle_stripes_1","circle_plain_0","circle_plain_2",5,0,211000,12.2596134124582,"circle","stripes",1,"circle","plain",0,"circle","plain",2,"easy"
"35",61,35,"combine","circle_plain_2","circle_checkered_0","circle_checkered_3",5,0,211000,12.2596134124582,"circle","plain",2,"circle","checkered",0,"circle","checkered",3,"easy"
"36",61,36,"consume","circle_checkered_3","","",5,1000,212000,12.2643415536542,"circle","checkered",3,"","",0,"","",0,"easy"
"37",61,37,"combine","square_stripes_0","square_plain_0","square_plain_1",5,0,212000,12.2643415536542,"square","stripes",0,"square","plain",0,"square","plain",1,"easy"
"38",61,38,"consume","square_plain_1","","",5,10,212010,12.264388722353,"square","plain",1,"","",0,"","",0,"easy"
"39",61,39,"combine","diamond_plain_0","diamond_checkered_0","diamond_checkered_1",5,0,212010,12.264388722353,"diamond","plain",0,"diamond","checkered",0,"diamond","checkered",1,"easy"
"40",61,40,"combine","diamond_checkered_1","diamond_dots_0","diamond_dots_2",5,0,212010,12.264388722353,"diamond","checkered",1,"diamond","dots",0,"diamond","dots",2,"easy"
"41",62,1,"combine","triangle_stripes_0","circle_stripes_0","",0,0,0,0,"triangle","stripes",0,"circle","stripes",0,"","",0,"medium"
"42",62,2,"combine","triangle_stripes_0","triangle_checkered_0","",0,0,0,0,"triangle","stripes",0,"triangle","checkered",0,"","",0,"medium"
"43",62,3,"combine","triangle_stripes_0","circle_stripes_0","",0,0,0,0,"triangle","stripes",0,"circle","stripes",0,"","",0,"medium"
"44",62,4,"combine","triangle_stripes_0","circle_stripes_0","",0,0,0,0,"triangle","stripes",0,"circle","stripes",0,"","",0,"medium"
"45",62,5,"combine","triangle_stripes_0","diamond_stripes_0","",0,0,0,0,"triangle","stripes",0,"diamond","stripes",0,"","",0,"medium"
"46",62,6,"combine","triangle_stripes_0","triangle_plain_0","",0,0,0,0,"triangle","stripes",0,"triangle","plain",0,"","",0,"medium"
"47",62,7,"combine","triangle_stripes_0","circle_checkered_0","",0,0,0,0,"triangle","stripes",0,"circle","checkered",0,"","",0,"medium"
"48",62,8,"combine","triangle_stripes_0","circle_dots_0","",0,0,0,0,"triangle","stripes",0,"circle","dots",0,"","",0,"medium"
"49",62,9,"consume","triangle_stripes_0","","",0,1,1,0,"triangle","stripes",0,"","",0,"","",0,"medium"
"50",62,10,"combine","circle_plain_0","triangle_plain_0","",0,0,1,0,"circle","plain",0,"triangle","plain",0,"","",0,"medium"
"51",62,11,"combine","circle_plain_0","triangle_dots_0","",0,0,1,0,"circle","plain",0,"triangle","dots",0,"","",0,"medium"
"52",62,12,"consume","circle_plain_0","","",0,1,2,0.693147180559945,"circle","plain",0,"","",0,"","",0,"medium"
"53",62,13,"combine","square_dots_0","diamond_dots_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","dots",0,"","",0,"medium"
"54",62,14,"combine","square_dots_0","diamond_dots_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","dots",0,"","",0,"medium"
"55",62,15,"combine","square_dots_0","diamond_checkered_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","checkered",0,"","",0,"medium"
"56",62,16,"combine","square_dots_0","diamond_plain_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","plain",0,"","",0,"medium"
"57",62,17,"combine","square_dots_0","diamond_dots_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","dots",0,"","",0,"medium"
"58",62,18,"combine","square_dots_0","diamond_stripes_0","",0,0,2,0.693147180559945,"square","dots",0,"diamond","stripes",0,"","",0,"medium"
"59",62,19,"combine","circle_stripes_0","triangle_stripes_0","",0,0,2,0.693147180559945,"circle","stripes",0,"triangle","stripes",0,"","",0,"medium"
"60",62,20,"combine","circle_stripes_0","triangle_dots_0","",0,0,2,0.693147180559945,"circle","stripes",0,"triangle","dots",0,"","",0,"medium"
"61",62,21,"combine","circle_stripes_0","triangle_checkered_0","",0,0,2,0.693147180559945,"circle","stripes",0,"triangle","checkered",0,"","",0,"medium"
"62",62,22,"combine","circle_stripes_0","square_stripes_0","",0,0,2,0.693147180559945,"circle","stripes",0,"square","stripes",0,"","",0,"medium"
"63",62,23,"combine","circle_stripes_0","square_dots_0","circle_dots_1",1,0,2,0.693147180559945,"circle","stripes",0,"square","dots",0,"circle","dots",1,"medium"
"64",62,24,"combine","circle_dots_1","circle_plain_0","",1,0,2,0.693147180559945,"circle","dots",1,"circle","plain",0,"","",0,"medium"
"65",62,25,"combine","circle_dots_1","square_stripes_0","circle_stripes_2",2,0,2,0.693147180559945,"circle","dots",1,"square","stripes",0,"circle","stripes",2,"medium"
